SampleID,WH02,SK02,KB03,BE01,SW08,BB23,BB36,GD01,GB96,LL17,IU07,FI01
WH02,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0
SK02,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,8.0,8.0
KB03,5.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,6.0,6.0
BE01,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,6.0
SW08,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0
BB23,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0
BB36,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0
GD01,7.0,7.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0
GB96,9.0,9.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0
LL17,9.0,9.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0
IU07,9.0,9.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0
FI01,9.0,9.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0
