,SampleID,SampleKind,order,geometry
0,KB03,real,11,POINT (10.103499999999999 54.691999999995375)
1,SW08,real,13,POINT (11.617 54.412999999995094)
2,BE01,real,12,POINT (10.033999999999999 54.51689999999519)
3,GD01,real,19,POINT (18.6042 54.58289999999527)
4,IU07,real,28,POINT (21.202100000000005 59.488999999998455)
5,LL17,real,27,POINT (21.0478 59.01999999999826)
6,FI01,real,29,POINT (23.266299999999998 59.769999999998575)
7,SK02,moved,1,POINT (8.5 54.10999999999478)
8,WH02,moved,0,POINT (8.150000000000002 53.636999999994266)
9,KG01,digital,10,POINT (11.8 56.349999999996776)
10,KG02,digital,9,POINT (11.5 56.999999999997215)
11,SR01,digital,7,POINT (10.500000000000002 57.99999999999782)
12,SR02,digital,5,POINT (8 57.49999999999752)
13,JB01,digital,4,POINT (7.200000000000004 56.49999999999687)
14,DB01,digital,3,POINT (7.0000000000000036 55.49999999999611)
15,DB02,digital,2,POINT (7.400000000000001 54.49999999999518)
16,BP01,digital,17,POINT (17.2 55.49999999999611)
17,BP02,digital,18,POINT (18.5 56.09999999999656)
18,EG01,digital,24,POINT (20.200000000000003 57.39999999999745)
19,EG02,digital,25,POINT (20.599999999999998 58.29999999999792)
20,SR03,digital,6,POINT (9.3 58.29999999999792)
21,WG01,digital,21,POINT (17.4 56.999999999997215)
22,WG02,digital,22,POINT (18.5 58.49999999999802)
23,BP03,digital,20,POINT (19.3 55.39999999999605)
24,BB23,real,15,POINT (15.7503 55.29119999999591)
25,BB36,real,16,POINT (15.9981 54.958899999995616)
26,GB96,real,23,POINT (19.5827 56.91649999999715)
27,HR21,digital,14,POINT (13.4914 54.94329999999564)
