SampleID,WH,SK,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BOK,SW08,H21,BB23,BB36,BP01,BP02,GDY,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU7,FIN
WH,5.109300955176637e-25,6.94576150315354e-23,4.3502289573736035e-20,6.419890071919543e-22,1.990049640462038e-23,5.507551855456891e-24,4.031261285424093e-25,1.4045832941674747e-24,7.081175243671488e-26,1.871705595039362e-27,1.3173190760467102e-29,3.0227616502836345e-31,8.309902592483262e-31,2.0430491954115822e-30,4.294541029848181e-33,1.6527160050203477e-33,3.266068355934746e-35,2.0752991877544742e-38,3.0940810912750185e-36,1.2422470247238865e-38,8.43410946196475e-40,9.755674042236709e-43,6.539307683851837e-42,3.2491905542723996e-44,1.6891775399798263e-44,5.7967305301422596e-46,1.8766781571904836e-48,6.839344068354859e-50
SK,8.963510925274673e-24,1.3166329480553303e-21,8.24639664109685e-19,1.2169695128861102e-20,3.7723852735346824e-22,1.0440246799107264e-22,7.641758131421393e-24,2.662563126630023e-23,1.3423292840976405e-24,3.548112911071132e-26,2.4972631506079968e-28,5.731043183254543e-30,1.5753536760075654e-29,3.8730156268588233e-29,8.142300767099587e-32,3.1335337227464766e-32,6.195442559471417e-34,3.941607367651751e-37,5.869311594730452e-35,2.3582544564715574e-37,1.601898303227651e-38,1.8585889922967422e-41,1.245121961771183e-40,6.2581199187949955e-43,3.2211887232623167e-43,1.120634723698866e-44,3.967281643907014e-47,1.4427026011337887e-48
DB02,1.1495027470484763e-22,1.6885021779110256e-20,1.0575519143953448e-17,1.5606918933181122e-19,4.8378624795254744e-21,1.3389003420783681e-21,9.800107328935984e-23,3.4145814834227283e-22,1.7214633885498432e-23,4.550333433343451e-25,3.2028297671708852e-27,7.352674686340451e-29,2.0205434520764997e-28,4.96721383892991e-28,1.0446038560531176e-30,4.0202834772612045e-31,7.964949346875319e-33,5.1162943978591336e-36,7.547061902989344e-34,3.049619612729693e-36,2.0794123211689338e-37,2.4787327872353048e-40,1.6543851744674006e-39,8.690503521359036e-42,4.308010366369151e-42,1.5686122267228028e-43,5.679831482170932e-46,2.0680111536013222e-47
DB01,3.988365866161298e-28,5.858502542404205e-26,3.669329348874051e-23,5.415070180189824e-25,1.679124454228246e-26,4.7632522060702074e-27,4.285257206852855e-28,1.6534181241171456e-27,8.520738364989092e-28,1.6293979667590274e-28,5.438615355990685e-30,8.649824287674205e-31,6.232277304319079e-31,6.6054664659846955e-31,1.1169476257968925e-32,4.86021071240943e-33,7.826310390166974e-34,3.840908579945355e-36,8.409259204165516e-35,1.4576897139659227e-36,1.5757996771713349e-37,9.674703038203897e-40,5.545127715815966e-39,1.1958854952964768e-40,2.0380850430108185e-41,2.59086500513129e-42,3.763605157696223e-44,1.3491436603494414e-45
JB01,1.2298549379132521e-31,1.8065320106976146e-29,1.1314770409754934e-26,1.6703128008147812e-28,1.2476286623518927e-29,2.123655278014913e-28,1.677905526891273e-28,9.439516487459596e-28,1.8942564892907733e-27,3.944004476824032e-28,1.4094781733432964e-29,2.4495323627974453e-30,1.677042535111367e-30,1.6867365875070202e-30,3.0721123085620817e-32,1.3486558325775802e-32,2.524744506810835e-33,1.597454851279873e-35,2.8214317568965196e-34,5.74382546762469e-36,6.5869871732034435e-37,5.32570842909509e-39,2.925697718581912e-38,8.961309466430835e-40,1.2618393649374184e-40,2.0724466502136992e-41,5.003396679738572e-43,1.7554649856456803e-44
SR02,1.411418323648334e-34,2.073236953989044e-32,1.2985220510783828e-29,2.198363007866233e-31,5.7007696337790864e-30,1.6488789064605924e-28,1.3136157084892964e-28,7.411364630253672e-28,1.497511479765297e-27,3.1204319121095254e-28,1.1178849200673078e-29,1.9496961969644378e-30,1.3321167260822062e-30,1.3369885399677054e-30,2.4421700632260634e-32,1.0725054233719603e-32,2.0199290521573652e-33,1.2889451837922177e-35,2.2606076766522753e-34,4.627484054592546e-36,5.315523584993822e-37,4.3248997153951884e-39,2.374349555810947e-38,7.306198302911715e-40,1.0261049274929733e-40,1.6901127719536214e-41,4.083655873249621e-43,1.432845573463577e-44
SR03,1.13635096057334e-34,1.6691906196936426e-32,1.0454575525309829e-29,1.8328053429493452e-31,5.639797640320506e-30,1.6275165022021118e-28,1.287173131877584e-28,7.195835699447036e-28,1.421146529311949e-27,2.9529876390970788e-28,1.0475014745870048e-29,1.798125200591387e-30,1.2400156188965112e-30,1.2560046731420352e-30,2.2665966935592098e-32,9.937245229770717e-33,1.8132844867515587e-33,1.0826084418899902e-35,2.007225802967528e-34,3.951273951915133e-36,4.45633663259706e-37,3.339966991859944e-39,1.862668166413895e-38,5.093557227989254e-40,7.556284861799424e-41,1.145391010272758e-41,2.2478583643965492e-43,7.985890012189099e-45
SR01,6.17025597850918e-35,9.063537442836017e-33,5.676736129291451e-30,1.4656833260340224e-31,1.3953181397341936e-29,4.0599006259582825e-28,3.2823735858834333e-28,1.8856425793562066e-27,3.9769602806223565e-27,8.329310794652475e-28,3.0390454847305026e-29,5.457570418871894e-30,3.6660160812987426e-30,3.617462695676362e-30,6.755371856084274e-32,2.9758900568144284e-32,5.936797054916993e-33,4.25683711285763e-35,6.782456457479344e-34,1.484891990323709e-35,1.761392715460479e-36,1.6299626047243152e-38,8.730623897737015e-38,3.1636840903066695e-39,4.154802916083053e-40,7.594189014289041e-41,2.2822028369342744e-42,7.911336761243974e-44
KG02,5.901585752245637e-36,8.669129391668042e-34,5.429842556337163e-31,2.085315095484311e-31,5.507383215216564e-29,1.6202315157823323e-27,1.350503533640352e-27,8.039684849266864e-27,1.8323257008443e-26,3.870862834413908e-27,1.4595534390118952e-28,2.7621115275676677e-29,1.7999858478977535e-29,1.722268074822612e-29,3.342820662060306e-31,1.4807736646935683e-31,3.2780055205678175e-32,2.918671006568041e-34,3.909699542449536e-33,9.606613470260542e-35,1.2173365287040283e-35,1.4059447018333063e-37,7.1643390019375265e-37,3.3943213758814e-38,4.15649755886083e-39,8.789855676164113e-40,3.76858200318129e-41,1.2693620259928392e-42
KG01,7.975145052646059e-37,1.171599335986031e-34,7.338847836869002e-32,1.312082163267972e-31,3.666088951377584e-29,1.0798532154182953e-27,9.031172162208872e-28,5.3967908978314816e-27,1.2395719471430472e-26,2.620899776514067e-27,1.0087322153128393e-28,2.002476633843006e-29,1.2674996819363383e-29,1.1817069620460252e-29,2.3527104633966367e-31,1.04765717535267e-31,2.654565611060203e-32,3.543963769286537e-34,3.4953731200165695e-33,1.0223216281247404e-34,1.5113699404438543e-35,2.520284963968251e-37,1.1595390044024477e-36,8.202039990312965e-38,9.816222500439917e-39,2.417915569465959e-39,1.5658660317881527e-40,5.073636473157484e-42
KB03,6.298574638988352e-40,9.255694051937072e-38,5.80054252157908e-35,7.428054815675175e-34,2.3262979028984765e-31,6.893783459330609e-30,5.877165643083187e-30,3.5974268204970927e-29,8.693337409946658e-29,1.9161004363188216e-29,3.021456465499537e-29,2.036502521214717e-29,7.300860609728599e-30,2.236989532015373e-30,1.1693504516841125e-31,5.778519357937523e-32,4.2664596155876695e-32,1.0975040149149665e-33,7.138924870916535e-33,2.886717191027192e-34,4.721800729977279e-35,9.17987216573023e-37,4.179714917075007e-36,3.093116521657674e-37,3.587849307178338e-38,8.972085177128276e-39,5.525378875772367e-40,1.8062046759067537e-41
BOK,4.0949226072222776e-40,6.01736620440098e-38,3.771044942678832e-35,4.863293895379274e-34,1.5437744471346236e-31,4.578594097149312e-30,3.9146943476879105e-30,2.4055358838397756e-29,5.861728879175331e-29,1.3058707385833422e-29,2.6139111655178056e-29,1.7839630452243473e-29,6.326836809128502e-30,1.915998793334639e-30,9.855861827374313e-32,4.8509787948786957e-32,3.4171431757138657e-32,8.386268437027258e-34,5.6016106909058705e-33,2.2316940588409864e-34,3.6015116669465e-35,6.856837512077181e-37,3.139922739455583e-36,2.2789102910216498e-37,2.6430347261022795e-38,6.573633015933219e-39,3.984248982119968e-40,1.30457894222167e-41
SW08,4.218840834519349e-39,6.198861618627893e-37,3.883952509480128e-34,2.7020769608703732e-33,7.937724624084267e-31,2.343463492381741e-29,1.9730062969053183e-29,1.188173023345783e-28,2.7728073553521242e-28,5.892657921017783e-29,9.988101832267066e-30,5.676982780072268e-30,2.2150498485204597e-30,9.009215681777683e-31,5.90737343565706e-32,3.186900358781553e-32,5.443566325883415e-32,2.7078596025077866e-33,1.2591351481101454e-32,5.95775229230677e-34,1.2012965795245646e-34,3.001751469606576e-36,1.2534314021508693e-35,1.187287215912845e-36,1.4228216911129268e-37,3.762335253491238e-38,2.8623547782650776e-39,9.145723902623526e-41
H21,6.9479024289413584e-40,1.021114079910088e-37,6.40022662904423e-35,9.301439220361116e-34,2.772833160405314e-31,8.19200415613647e-30,6.910576188144093e-30,4.170743763466404e-29,9.774841073044691e-29,2.0768972246847824e-29,2.4741645458869256e-30,1.2628646922572413e-30,5.522711550720066e-31,3.0927408742771878e-31,7.820985605002406e-32,5.257273182554978e-32,2.4407304632516965e-31,2.1901395683424492e-32,8.226339446983681e-32,3.917446144480292e-33,1.0174895996309496e-33,3.1074990483984203e-35,1.1569515637679224e-34,1.3950777753747265e-35,1.897858362170397e-36,5.127788126008936e-37,5.232317207583974e-38,1.5898329142133773e-39
BB23,4.351333377670115e-45,6.440329525385825e-43,4.12650837458909e-40,3.1725165416592426e-37,1.185642114568255e-34,3.547456966676088e-33,3.11821062849121e-33,1.9792408464221454e-32,5.121984975560725e-32,1.1626034062326775e-32,6.224663529358126e-33,3.1533427307342576e-33,3.39694926237006e-33,1.2448793454676965e-32,3.971554988054529e-31,3.2096216049778277e-31,2.5433102596109183e-30,3.8219967240363555e-31,9.32053517443757e-31,5.000663553094902e-32,1.9202908889844607e-32,6.810580054894907e-34,2.182947694866973e-33,3.210896466606971e-34,5.308085615403104e-35,1.4357058072731524e-35,1.9087221342097093e-36,5.465089090348861e-38
BB36,5.0014757219312745e-43,7.363312500014646e-41,4.632749085330604e-38,5.2428162726144206e-36,1.7020716294327965e-33,5.052067881891141e-32,4.322366911132498e-32,2.6524080616782187e-31,6.425863950166612e-31,1.3834810206924316e-31,3.3275400062431427e-32,1.8130476384100302e-32,1.0832337115733565e-32,1.8125793636131328e-32,4.062827089852313e-31,3.2746439837533966e-31,2.5823486425443457e-30,3.965156210106044e-31,2.0363949630648647e-30,6.682736693751575e-32,1.8876311186084635e-32,6.6551677854371045e-34,2.2957380167416943e-33,3.3419833629993557e-34,5.241051310990352e-35,1.392115126954759e-35,1.836534345501753e-36,5.267046509175798e-38
