SampleID,WH02,SK02,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BOK,SW08,H21,BB23,BB36,BP01,BP02,GDY,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU7,FIN
WH02,3.214020884094983e-05,3.0109690773893747e-06,2.70145104145959e-06,4.87847763577527e-07,3.593647517151712e-08,5.42998763144973e-08,0.0,0.0,0.0,0.0,1.01729623636201e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK02,9.300593482238404e-07,2.6465595587404436e-05,2.5830884669962793e-05,1.862818216168567e-06,1.7736619943657175e-07,2.22657205581515e-07,3.2451818657194375e-08,1.455537585830643e-09,0.0,0.0,3.2083958223724934e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB02,6.084150197504098e-07,2.2345054831799535e-06,0.00010282031661270718,2.180859820735578e-05,6.081472507448761e-07,7.111973158492304e-07,1.7551142914853237e-07,1.2909256072139328e-08,0.0,0.0,5.325384687091445e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB01,8.911318795691317e-08,2.3766612649044088e-07,3.5491910001892037e-06,4.2269742358838814e-05,1.653884969386429e-05,2.0398242359493446e-05,1.5933676882237446e-05,9.096953357557175e-07,2.0937191695095498e-08,1.4868862112363342e-12,4.1248830651764583e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JB01,3.5617916466793957e-10,1.3524299207486451e-08,6.295915988879582e-07,2.2597732027236397e-06,9.994268532452005e-06,4.9070773896481955e-05,0.00010182602298079287,9.178172055523375e-06,9.567522454855987e-07,8.325075896712234e-10,6.306316035366307e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR02,0.0,1.119649246201593e-09,3.5297341167990815e-08,5.088715400002183e-07,1.3311452112803838e-06,5.979840238708459e-05,6.747360983959935e-05,5.750652479727656e-06,6.175444781019574e-07,6.295662079151043e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR03,0.0,0.0,2.2853554768919398e-10,1.4503983911768314e-07,8.677230675990637e-07,6.173834337833866e-05,0.00013163767585436283,4.730041178453744e-06,6.77077677964796e-07,1.5753407002212307e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR01,0.0,0.0,0.0,1.8641146090735438e-08,1.7439784057043397e-07,2.9663479572565715e-05,0.0002645906536229593,1.5313724429758254e-05,3.825306255102866e-06,9.119987568532347e-08,0.0,0.0,0.0,8.658790875743331e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG02,0.0,0.0,0.0,3.740708309629305e-09,1.3134994928370958e-08,6.619594998985942e-07,1.505581699404329e-05,5.559648253442096e-06,4.662580404739315e-05,1.3871826697514669e-05,1.1158533687488868e-07,7.800361021358262e-10,9.143176692396527e-09,1.2294007956681341e-07,2.4884190467160356e-11,6.938842104413461e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG01,0.0,0.0,0.0,0.0,2.855282686356975e-10,5.655056662780427e-08,1.7115519606171822e-06,7.409375936661583e-07,2.342646011600874e-05,4.6525348647689724e-05,1.516355439900977e-06,2.1719944470336455e-08,8.048474629148193e-08,2.2812224694185548e-07,6.450633897885913e-11,2.8885096641869173e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KB03,0.0,0.0,0.0,0.0,0.0,1.4722621854302908e-11,1.4702693944838315e-09,2.786521295123975e-09,2.8977732312701585e-08,4.262576396091203e-07,6.258087097937575e-05,1.1042457216434974e-05,3.956913513830923e-06,5.636088311807061e-07,1.4925083206979967e-09,3.664016738827821e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOK,0.0,0.0,0.0,0.0,0.0,4.400518465844129e-11,7.530096252450279e-10,2.4085470490754133e-09,2.1359505148565094e-08,3.1466861371928693e-07,2.0028517576154843e-05,4.000105633273163e-05,3.292889636788191e-06,4.6710082403521176e-07,8.609979275031266e-10,9.274298451564057e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW08,0.0,0.0,0.0,0.0,0.0,7.388966680910918e-10,1.6141738781544558e-08,1.3427183583097086e-08,1.1671403873631212e-07,1.8164587775825693e-06,8.605109593005826e-06,9.384645905221351e-07,2.6795044298010908e-05,6.850069532683671e-06,2.2694974186775653e-08,2.899376879434625e-08,4.0200452648344045e-11,0.0,2.790484348573204e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H21,0.0,0.0,0.0,0.0,0.0,7.475187560278659e-11,1.162096585113721e-09,5.342918226419488e-10,1.1703812358157548e-08,8.229850127921367e-07,5.325166958077962e-07,3.4599290320865203e-08,3.4084703761864618e-06,5.100280390372967e-05,1.3950589918584541e-06,3.1409872331320946e-06,4.10878294296813e-09,0.0,2.222517493089814e-09,2.3483627535744226e-10,1.5045206928605073e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.819084171405208e-12,9.34507983762036e-10,0.0,0.0,6.620901768330849e-12,1.084070660033558e-06,3.977241060962006e-05,1.842098947858753e-05,1.3377676110163107e-06,1.0882800230149154e-10,3.0559017100615243e-08,3.486424582210338e-10,1.1936501672128185e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.297271937919368e-11,5.685726995199979e-07,1.3625088759667894e-05,8.654779005873038e-05,1.6545604692526319e-06,0.0,1.5858342227331755e-07,1.5072509806413747e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000799177359263e-11,1.6415215433102106e-06,7.819108748907644e-06,5.058434904137649e-05,2.895294067365565e-07,6.135499583630645e-07,1.5748089538973718e-06,4.764953036159767e-09,0.0,1.4514422580265467e-09,0.0,0.0,0.0,0.0,0.0
BP02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.176734376278356e-06,3.782713819328742e-05,1.523774965703021e-08,1.1539986318596903e-06,2.1190727702802533e-08,0.0,6.93087799609205e-08,0.0,0.0,0.0,0.0,0.0
GDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.431073316245316e-12,4.77489904221192e-09,5.396203180737116e-08,4.265054356321597e-09,6.444651458687325e-05,3.4770133674838347e-07,0.0,0.0,1.3328335924330774e-10,1.374324899141352e-10,0.0,0.0,0.0,0.0
BP03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9024366539371523e-09,6.039235380549274e-09,2.924783041281469e-06,2.9665320712466398e-06,5.17120661186045e-05,0.0,0.0,6.299260610951607e-08,0.0,0.0,0.0,0.0,0.0
WG01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.820125198700358e-07,1.4821264032461317e-10,3.5391714554660623e-06,8.682506067847492e-07,0.0,1.3014080442220998e-08,3.664953406371702e-05,2.086712235688663e-06,5.456933195450867e-08,1.0014262037792501e-08,1.657767281886391e-09,3.1859438744058903e-12,0.0,0.0
WG02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0523190703041955e-12,3.307207739900062e-11,0.0,0.0,3.3100823549250553e-06,6.307564146419776e-05,3.3602464743155064e-08,4.0701609971721746e-07,5.895425138419759e-07,1.9602910162786747e-07,1.2740170260831033e-09,1.119289169108591e-10
