SampleID,WH02,SK02,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BOK,SW08,H21,BB23,BB36,BP01,BP02,GDY,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU7,FIN
WH02,1.7268574302580517e-27,2.3460397279279087e-27,6.60758754496788e-26,2.2846068937467384e-26,4.923081414500983e-27,4.676273645940527e-26,8.286897700180247e-26,4.2201562508425295e-27,7.184070187883494e-28,1.4070439978393454e-28,2.5336077903842177e-30,2.0932551880304675e-31,1.6130825886772357e-31,6.876066587766436e-31,4.682700582185384e-33,1.1906305828042285e-32,9.255882936337253e-35,7.110007340630634e-38,1.3584496191200957e-35,1.0632954138918587e-36,5.978732277594896e-38,3.3002681043954667e-40,4.995081801078677e-40,9.106675101291956e-42,5.417541225188071e-43,9.455474418468932e-44,7.897700896733208e-46,6.295218132159122e-47
SK02,4.00799363155152e-27,1.310110230150536e-26,4.281803917623158e-25,1.496059081343697e-25,3.2192352494555707e-26,2.827984257704214e-25,4.976493716780579e-25,2.5546682207067207e-26,4.281112814273372e-27,8.160400717634407e-28,1.4986014686028022e-29,1.2822152715919939e-30,9.363481901677095e-31,3.8891053697580305e-30,2.460665908479393e-32,6.29594500012997e-32,4.73306499144657e-34,3.6855064576317326e-37,7.036200132944581e-35,5.5563725799452577e-36,3.0869822882378454e-37,1.6005225269167063e-39,2.53420315141013e-39,4.45327289282704e-41,2.591153224739304e-42,4.4681094840479956e-43,3.437308990519582e-45,2.8350373656533855e-46
DB02,1.1835059157103384e-26,3.864259949738405e-26,1.292524113699272e-24,4.592097872515239e-25,1.076129214656518e-25,1.3012191925792437e-24,2.3512150099572113e-24,1.179376010558767e-25,2.0674573306335226e-26,4.1916063475227184e-27,6.918510261119895e-29,5.560954997953876e-30,4.647944654952367e-30,2.0830649501474796e-29,1.4495576462424423e-31,3.650756346198796e-31,2.8032267620984728e-33,2.2318941659990615e-36,4.163483025776215e-34,3.318887694327735e-35,1.8486918817902596e-36,9.963758378629315e-39,1.5997632045143962e-38,3.031476941787986e-40,1.6364345307544935e-41,2.8301556784034664e-42,2.7836582378781506e-44,2.0829898819739645e-45
DB01,7.617471932938432e-28,2.4733262922364238e-27,8.060301136081665e-26,5.800097038105717e-26,8.428421753930973e-26,4.229828397887907e-24,8.034021704915239e-24,3.8385884327265484e-25,7.40595645047054e-26,1.7183039730439853e-26,2.6490588149640634e-28,1.919288958105265e-29,2.0372323797585624e-29,9.666750267720456e-29,9.673581830277074e-31,2.4539470999518098e-30,2.521292714724851e-32,2.1445063977151006e-35,3.304598851066226e-33,2.532501328436219e-34,1.3770796160828217e-35,1.1303980023266175e-37,1.4685695561259284e-37,2.657388537468173e-39,2.243902052652988e-40,4.637514019205485e-41,3.742873560527139e-43,3.0270810557768194e-44
JB01,1.7134087596331285e-28,6.334240827841808e-28,1.9377416278008028e-26,7.257751750184409e-26,2.0577307843142036e-25,1.1309894531131524e-23,2.1504123790131353e-23,1.025673649877908e-24,1.99195908352783e-25,4.691073170664646e-26,7.797830823624153e-28,6.387409677275488e-29,6.151616175350435e-29,2.7442240795966562e-28,3.303359603019551e-30,8.672780450482454e-30,1.1556892666236534e-31,1.5268355105330257e-34,1.4015129925151109e-32,1.2736649998803606e-33,5.159720122952958e-35,5.997264382154605e-37,1.0250758444649819e-36,1.9610633059563276e-38,1.747156636838604e-39,4.422876408420938e-40,6.063202090728574e-42,4.067492480608157e-43
SR02,6.627928080391164e-29,2.7170763138507317e-28,7.781693293676212e-27,5.1225087659269054e-26,1.5157299985963507e-25,8.357570068420893e-24,1.5891502808511605e-23,7.579286352980187e-25,1.4717710898922583e-25,3.463607135151251e-26,5.71449873118922e-28,4.619353297174946e-29,4.4974614399047314e-29,2.01983119362897e-28,2.3912301063477456e-30,6.257519139117192e-30,8.162587211900898e-32,1.0480085406719822e-34,9.955326765406076e-33,8.92466938336057e-34,3.704044342362829e-35,4.192689989376233e-37,7.042227495605939e-37,1.34292253115809e-38,1.1945839389153862e-39,2.997529286476198e-40,4.0408984474715623e-42,2.72432203074133e-43
SR03,8.773673999674398e-29,3.7213290030938192e-28,1.0471380783124124e-26,7.806465260560063e-26,2.3272810744332142e-25,1.2840768233067867e-23,2.4415913034897223e-23,1.1644803551558572e-24,2.259172543415381e-25,5.308179143127288e-26,8.782543676053994e-28,7.245408079677564e-29,6.926602884868275e-29,3.084314321506958e-28,3.613850246190462e-30,9.457432583972768e-30,1.2277464572800945e-31,1.582743476906139e-34,1.500221040993927e-32,1.3484684556015643e-33,5.581788530179413e-35,6.2883559515813945e-37,1.0640029121065892e-36,2.0297580080968473e-38,1.7997413900926827e-39,4.525387961694741e-40,6.171996153310685e-42,4.146693985118697e-43
SR01,1.4026885956139727e-28,6.061787929040902e-28,1.6929417910230548e-26,1.3364798483410725e-25,4.0007039653763853e-25,2.2084125376348384e-23,4.1992040782957365e-23,2.0028460102696828e-24,3.8990818890669354e-25,9.234825699474249e-26,1.6106702040062658e-27,1.4352787994480357e-28,1.292715447510013e-28,5.530859763751515e-28,7.498281525583408e-30,2.0144410270918908e-29,3.0882960396490718e-31,4.888638409008336e-34,3.623796608004616e-32,3.628250503510301e-33,1.2413986748962933e-34,1.712866740944727e-36,3.278711739788525e-36,6.419533541273402e-38,5.737248810624686e-39,1.52700729055215e-39,2.3264091886660156e-41,1.5146758029991196e-42
KG02,1.350467901014395e-29,6.049155211748755e-29,1.679055280892343e-27,1.4533155489805987e-26,4.424647688772849e-26,2.4552463779707128e-24,4.696207448868951e-24,2.264971417991391e-25,8.005884269288101e-26,3.796331280266654e-26,3.616384638097315e-27,7.924658407139975e-28,3.818610886764646e-28,7.5001849407492525e-28,5.60776288110227e-29,1.7928880614968644e-28,5.416768918229061e-30,1.6804741553031638e-32,5.940761592213789e-31,9.60917485382674e-32,1.3879776735219063e-33,4.0612125093299396e-35,1.2356489062195882e-34,3.127262037877507e-36,2.377175066032322e-37,7.219783262388654e-38,1.9375750122401915e-39,1.1890041560979883e-40
KG01,3.120278216932972e-30,1.4713253252684898e-29,4.068186705611953e-28,3.967230513745013e-27,1.2464279423717818e-26,7.003138247733105e-25,1.3651725421798184e-24,6.840597833979477e-26,5.943706722901751e-26,3.9566633620989367e-26,7.862528403019502e-27,2.144905540712634e-27,8.752421383792802e-28,1.1458972919925915e-27,9.693337971468702e-29,3.153452211768468e-28,9.719139077301231e-30,3.0811540088884553e-32,1.0668242645113283e-30,1.7533162383675694e-31,2.4246294739747155e-33,7.201026712423918e-35,2.270562734827622e-34,5.755190895067097e-36,4.271968621775478e-37,1.2995521036526544e-37,3.5310864381393114e-39,2.165895966932867e-40
