,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,0.00013088268137348346,1.4798048020929365e-05,1.2657410708806997e-06,1.1206202481606952e-07,1.5069841323910965e-08,2.205278816470786e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK01,8.938436083629287e-08,0.00026956870346667687,1.6431867506448154e-07,3.831821693925197e-08,6.248372021515273e-09,1.82710224901762e-09,4.890668855175567e-12,8.296768104717117e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB02,5.636336621554084e-06,8.211623179535368e-06,3.575940223014636e-05,7.939156764416196e-06,5.118909204871685e-07,1.804342919726861e-07,1.594224139734753e-08,2.4017053955293618e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB01,5.285742757925329e-07,1.0926133677202402e-06,1.357135194563008e-06,1.7833811336172986e-05,1.905574567425687e-05,5.642147461583906e-06,1.5643389151200477e-06,1.6752728242546452e-06,2.5378202799765126e-08,1.0346059614823872e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JB01,3.8114582987092995e-09,6.707246902879936e-08,2.3503140710536132e-07,1.0089111185006821e-06,1.2379069329867335e-05,1.4686577628824586e-05,1.0302457146587831e-05,1.794257267443992e-05,1.177450252859132e-06,8.008674543550084e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR02,1.7440055535238543e-11,3.554980522368655e-09,2.0981432501949845e-08,3.1941699577129824e-07,2.2386054511127943e-06,2.705992987353318e-05,1.0633219557444748e-05,1.633111756871653e-05,1.1346488139359744e-06,9.299265640254997e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR03,0.0,0.0,2.8237282305830353e-10,9.02795788079287e-08,1.30993281492837e-06,2.6006731495386028e-05,1.902436190030347e-05,1.2640353853118012e-05,1.221100727578586e-06,2.3372944065463102e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR01,0.0,0.0,0.0,8.147982237584834e-09,2.0664418098118695e-07,9.334078623938288e-06,2.7858008710573485e-05,2.9792535109851312e-05,4.956595386777754e-06,9.789284377872394e-08,0.0,0.0,0.0,6.616022345982169e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG02,0.0,0.0,0.0,1.4202174395958022e-09,1.4259687184355733e-08,1.764540538528507e-07,1.409960821154959e-06,1.0360033448772815e-05,5.707221768070151e-05,1.3634395976618667e-05,1.7669497617475142e-07,1.492701735280428e-08,2.9226366587063604e-08,1.0442879700931863e-07,4.11617852732807e-11,4.5118235743286757e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG01,0.0,0.0,0.0,0.0,2.8897146733653056e-10,1.4780683412800427e-08,1.5396382007731002e-07,1.3450998908711912e-06,2.9972042100903503e-05,4.538548458321921e-05,2.4011397524375175e-06,4.1323718482866754e-07,2.571738796523537e-07,1.8160582569505638e-07,9.930846421854335e-11,1.8773128017676173e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
