,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,205243609,1798708,660914,114663,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,50844,207291753,434712,41691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,8916996,1372893,150856895,44190767,2308551,169614,1485,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,0,0,5886,48067057,111848172,33201661,8784811,5375761,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,0,0,958465,35258247,79635083,24365299,55202545,2122324,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,0,0,2687544,50465324,9327416,55357854,3663763,14735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,0,796002,41269398,53135187,78296351,5218094,254015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,0,27471,30805145,55392103,102690968,6948145,436450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,11021,434418,4968879,34055142,119912896,47600462,138015,3,3253,651832,61,1081,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,0,68068,466757,6388115,80009812,117489417,2584612,26868,231270,553213,272,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,0,828,50126,693691,149733866,34385720,22232783,717551,4435,0,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,0,460,32090,443545,44913552,142851884,17964627,1604277,8565,0,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,0,186,34778,290136,3990168,17145998,4613258,165313140,16369785,43947,15647,1034,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,0,5067,2070707,1051982,351225,23650681,163431611,10738818,6507443,10996,0,470,0,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,2659028,197216267,7557561,333295,326,52523,0,0,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41792569,161625091,4401340,0,0,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8796200,6535781,192452530,0,34489,0,0,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542843,202739851,0,3536306,0,0,0,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71330,214639,20312,205724981,1787738,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17287479,0,190530096,0,0,1425,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5723415,2376676,0,0,199718909,0,0,0,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5236799,200755416,0,0,1826603,182,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207291175,527825,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973555,204845445,0,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777367,0,64498,199675004,7302131,0,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608893,0,0,20557025,138793027,47860055,0
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420984,0,0,10949,4118017,201562989,1512326
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202990,196586380
