,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,5.0652175562839916e-24,4.0541949292404825e-23,9.522589841117105e-26,1.665469275118628e-26,4.036034029894973e-27,1.8799135477271128e-27,8.188747585121367e-28,1.072382354974687e-27,1.2624397366289446e-28,1.493937434842273e-29,5.215220705805298e-31,1.7994977016731405e-30,1.0821114667772753e-31,1.1111185516367058e-31,1.3805535471587476e-33,1.292541911525612e-33,1.7080739860686137e-35,2.156691294378826e-38,6.355941140363676e-36,1.6764594501463508e-37,2.0229163688195838e-38,6.596139435189838e-41,1.3144675849448492e-40,3.5396899722022635e-42,1.5364964950638541e-43,2.6162368819658867e-44,1.22443183885062e-46,8.145247344000803e-48
SK01,2.550257917524133e-25,3.8382066003257417e-22,2.7148270826644913e-25,6.715839739161074e-26,1.491337001187058e-26,5.802088781681043e-27,1.534352860571563e-27,2.104507789274148e-27,1.7910633820091542e-28,1.307840944602928e-29,3.346634955737279e-31,8.75622522068807e-31,6.573372711993244e-32,8.870159714845146e-32,7.882789086508828e-34,7.4138677077249475e-34,8.505994630599948e-36,1.0051094122907214e-38,3.331233899832119e-36,9.112069817940478e-38,1.088384693727193e-38,3.130591137405858e-41,6.161647065441597e-41,1.664049085795536e-42,7.176050182874652e-44,1.18638459616403e-44,5.549873574188863e-47,3.691915151775542e-48
DB02,3.0990824266235527e-25,1.4499941327822554e-23,1.6448069259412805e-26,4.110084016718151e-27,1.702118712999593e-27,3.539464844706233e-27,2.9311035869595127e-27,3.3466331837833535e-27,1.0100033723994163e-27,2.3768253781046856e-28,1.503687016876223e-29,8.191739932404617e-29,3.496590182215494e-30,2.122668223627731e-30,4.3704816881960255e-32,4.062752711503582e-32,6.993566105275695e-34,1.010575974077659e-36,2.387652229236522e-34,5.90840678680381e-36,7.186065795967447e-37,2.9375554659328662e-39,6.059659827822292e-39,1.6187547369238322e-40,7.151001302316007e-42,1.3117503661875932e-42,6.146764369482297e-45,4.088735397702057e-46
DB01,2.8516422914598587e-26,1.83694905600645e-24,1.8639847219261946e-27,6.146511412506243e-28,1.0713803616479202e-27,1.0671695602042868e-26,9.926606337251647e-27,1.0988828629608329e-26,5.5303613923039684e-27,1.7299700201442475e-27,2.6707676451898322e-28,2.9336208054684803e-27,7.556336419328398e-29,1.9763900891636698e-29,5.896485733642797e-31,5.513887384658657e-31,1.3913910395801465e-32,3.2953437511651727e-35,4.5742201665708105e-33,1.1723565380768667e-34,1.1831957383535389e-35,7.188773101534288e-38,1.849378613807806e-37,4.888329016349876e-39,2.3070588740644343e-40,5.896186076966474e-41,4.084481746004423e-43,2.2760390045703333e-44
JB01,1.1002199032829173e-27,1.218469264409993e-25,1.5764844624349001e-28,2.260463327323486e-28,1.3133131642327256e-27,1.652100981317835e-26,1.5602375570887886e-26,1.760474168890742e-26,1.185076128966033e-26,4.284184583825135e-27,2.5151648756671197e-27,4.280001289180792e-26,8.140166171159486e-28,8.443449531632496e-29,2.5533402989647025e-30,2.601986893299942e-30,7.974661074780834e-32,3.1628171318637177e-34,2.9055284974590463e-32,8.26154889503513e-34,6.017665863687395e-35,5.112660489161581e-37,1.7758101625021163e-36,5.100102986377259e-38,2.3613707954047643e-39,7.765286513919582e-40,9.747475427792e-42,4.436236378723555e-43
SR02,1.8551546964219205e-28,1.0579615447571182e-26,4.5657845533009984e-29,1.9324881506007135e-28,1.2968273526613333e-27,1.6525234870774244e-26,1.559550328522526e-26,1.7575068380584213e-26,1.1692069821861244e-26,4.2084580869623354e-27,2.582553245225867e-27,4.4401453348660994e-26,8.378908415922026e-28,8.474324192664549e-29,2.5046631181937447e-30,2.5755927659873556e-30,7.770055554500227e-32,3.0776767032267663e-34,2.832225604761768e-32,8.048048241556311e-34,5.866131390172361e-35,4.970834433269245e-37,1.728318284929995e-36,4.965267311139614e-38,2.2972807231772056e-39,7.557260735884344e-40,9.505590881412731e-42,4.323721138635506e-43
SR03,7.957822807810771e-29,2.449948920070667e-27,3.697845469542196e-29,1.9655115915198236e-28,1.3375384673469317e-27,1.7056042760250907e-26,1.6099602731946633e-26,1.8153141618926565e-26,1.2144171765076063e-26,4.434898337623586e-27,6.700542837399001e-27,1.2825443186621583e-25,2.2387614478462257e-27,1.574717045315864e-28,3.33214038271549e-30,4.0622339754576284e-30,9.748465382782234e-32,3.996828518663575e-34,3.6154902562329485e-32,1.0291824078134476e-33,7.221761743839668e-35,6.172834499546436e-37,2.2457946393056653e-36,6.501725392844363e-38,2.972939293300052e-39,9.984241455293745e-40,1.313539034221821e-41,5.9022112299239075e-43
SR01,3.9738757827241927e-29,8.60101657227756e-28,3.781128420818933e-29,2.3729513793741215e-28,1.6533041899362842e-27,2.1371513870842017e-26,2.0505313126594795e-26,2.3724618312567462e-26,2.023707717216719e-26,8.035377312098085e-27,1.0416644660039171e-26,1.9364934499244131e-25,3.4652685797462686e-27,2.611534934139763e-28,6.962382528170657e-30,7.724979050461058e-30,2.379328798254721e-31,1.1115556322349102e-33,9.139125692706195e-32,2.6909759352610114e-33,1.7199720095742531e-34,1.6423639843146244e-36,6.26579792671301e-36,1.844623350567076e-37,8.453727669606714e-39,2.9268050142133168e-39,4.0296285888512544e-41,1.7892116180923195e-42
KG02,6.234499427004382e-30,8.610053798441333e-29,1.557628126074041e-29,1.4680916773834134e-28,1.1963470483930331e-27,1.8448120278777714e-26,2.326615694635411e-26,3.6875852934700963e-26,1.0185962143100296e-25,5.852215317093409e-26,1.055774584080922e-24,2.1688573857000554e-23,3.5901047504360304e-25,1.8527313515506542e-26,2.1147480056419205e-28,3.782078160747692e-28,5.700221900715367e-30,3.8908151730604675e-32,2.896277041224135e-30,8.068625945696138e-32,3.9025147986725064e-33,4.3217228764307914e-35,2.362399742458923e-34,8.900121916502116e-36,3.4100259549076505e-37,1.3545930763468557e-37,3.274879388617463e-39,1.359539371852272e-40
KG01,1.8565201792054695e-30,1.7910382611840006e-29,7.861228369928591e-30,9.049232709242894e-29,7.973594125196368e-28,1.3379557127604e-26,1.9049818295479307e-26,3.5217457987041887e-26,1.224255811502184e-25,1.7596115523025498e-25,1.2848209136961865e-23,2.666979832817625e-22,4.372204774296636e-24,2.17935361957227e-25,1.770585499583874e-27,3.97807123039662e-27,2.3796296852530747e-29,8.321250742578146e-32,9.742870499951545e-30,2.330431216318689e-31,1.6645534551723877e-32,9.354339803500596e-35,4.928812683932934e-34,1.754433271778312e-35,6.376369140908921e-37,2.426553406661461e-37,5.753056545404627e-39,2.3958924442505496e-40
